"filename", "language", "JavaScript", "CSS", "PHP", "HTML", "JSON", "Markdown", "YAML", "XML", "Makefile", "comment", "blank", "total"
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-de.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 0, 4, 3, 29
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-el.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 0, 0, 4, 3, 34
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-eo.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 0, 4, 3, 27
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-es.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 0, 0, 7, 3, 37
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-et.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 3, 29
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-fa.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 3, 29
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-fi.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 0, 0, 12, 3, 28
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-fo.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 0, 0, 12, 3, 28
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-fr.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 0, 0, 7, 3, 37
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-gl.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-he.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-hi.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 0, 0, 6, 3, 36
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-hr.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-hu.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-hy.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-id.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 0, 7, 3, 32
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-it.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 3, 29
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-ja.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 0, 0, 8, 3, 38
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-ka.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 3, 28
